model_name,audio_filename,reference_original,hypothesis_original,hypothesis_fixed,wer_before,wer_after
whisper-large-v3_beam5,test_00010.wav,и ты такой а тебе приходится делать какие то телодвижения руками потом если у тебя этой связки нет чтобы вытащить информацию,"И ты такой, а? Тебе приходится делать какие-то телодвижения руками, потом, если у тебя этой связки нет, чтобы вытащить информацию.","И ты такой, а? Тебе приходится делать какие-то телодвижения руками, потом, если у тебя этой связки нет, чтобы вытащить информацию.",0.0,0.0
whisper-large-v3_beam5,test_00011.wav,и мне кажется абсолютно все замечали что детские крики раздражают там и ты на них обращаешь внимание намного сильнее чем какие то низкие частоты здесь кажется то что ну наверное из этого следует что высокие частоты мы слышим там и распознаем лучше чем например низкие,"И мне кажется, абсолютно все замечали, что детские крики раздражают, и ты на них обращаешь внимание намного сильнее, чем какие-то низкие частоты. Здесь кажется то, что, наверное, из-за этого следует, что высокие частоты мы слышим и распознаем лучше, чем, например, низкие.","И мне кажется, абсолютно все замечали, что детские крики раздражают, и ты на них обращаешь внимание намного сильнее, чем какие-то низкие частоты. Здесь кажется, что, наверное, из-за этого следует, что высокие частоты мы слышим и распознаем лучше, чем, например, низкие.",0.0889,0.1111
whisper-large-v3_beam5,test_00012.wav,хардкорный доклад самый человек занимается криптографией на swift е поэтому там можно ожидать многих интересных фичей технических деталей но по прежнему из за того что два дня и три треда всегда можно будет найти что посмотреть на том же русском языке если у нас будут такие гости,"хардкорный заклад. Сам человек занимается криптографией на свифте, поэтому там можно ожидать многих интересных технических деталей. Но по-прежнему из-за того, что два дня и три треда, всегда можно будет найти, что посмотреть на том же русском языке, если у нас будут такие гости.","хардкорный заклад. Сам человек занимается криптографией на Swift, поэтому там можно ожидать многих интересных технических деталей. Но по-прежнему из-за того, что два дня и три треда, всегда можно будет найти, что посмотреть на том же русском языке, если у нас будут такие гости.",0.1064,0.0851
whisper-large-v3_beam5,test_00013.wav,ну или даже больше у меня могло быть три часа нагрузки три часа бега в сутках это уже много я там действительно мог бургер съесть так что тут тоже если вы захотите потом уже профессионально еще сильнее упарываться то возможно там уже можно будет и забить на питание мне кажется,"Ну, или даже больше. У меня могло быть 3 часа нагрузки, 3 часа бега в сутках. Это уже много. Я там действительно мог бургер съесть. Так что тут тоже, если вы захотите потом уже профессионально еще сильнее упарываться, то, возможно, там уже можно будет и забить на питание, мне кажется.","Ну, или даже больше. У меня могло быть 3 часа нагрузки, 3 часа бега в сутках. Это уже много. Я там действительно мог бургер съесть. Так что тут тоже, если вы захотите потом уже профессионально еще сильнее усердствовать, то, возможно, там уже можно будет и забить на питание, мне кажется.",0.04,0.06
whisper-large-v3_beam5,test_00014.wav,что то происходит не так в очень редком количестве случаев и это вот самое неприятное то есть у тебя там в 99 случаев все работает нормально но вот при таких входных данных система там встает в ступор выполняет это в 10 раз дольше и так далее и тому подобное и ты такой хм как поймать,"что-то происходит не так в очень редком количестве случаев, и это вот самое неприятное. То есть у тебя там в 99% случаев все работает нормально, но вот при таких входных данных система там встает в ступор, выполняет это в 10 раз дольше и так далее и тому подобное. И ты такой, как поймать?","Что-то происходит не так в очень редком количестве случаев, и это вот самое неприятное. То есть у тебя там в 99% случаев все работает нормально, но вот при таких входных данных система там встает в ступор, выполняет это в 10 раз дольше и так далее и тому подобное. И ты такой, как поймать?",0.0182,0.0182
whisper-large-v3_beam5,test_00015.wav,а это подробности получается именно того как работают форматы музыкальные для соответственно звука или как ты имеешь в виду про перекодировку и почему возникают расхождения или что да да да ну то есть вот ты сказал что даже если мы возьмем там не знаю битрейт поменяем у нас уже изменится и у нас побитового сравнения не получится,"А это подробности, получается, именно того, как работают форматы музыкально для, соответственно, звука или как? Ты имеешь в виду про перекодировку и почему возникают расхождения или что? Да-да-да. То есть вот ты сказал то, что даже если мы возьмем, там, не знаю, битрейт поменяем, у нас уже изменится и у нас побитого сравнения не получится.","А это подробности, получается, именно того, как работают форматы музыкальные, для соответственно, звука или как? Ты имеешь в виду про перекодировку и почему возникают расхождения или что? Да-да-да. То есть вот ты сказал то, что даже если мы возьмем, там, не знаю, битрейт поменяем, у нас уже изменится и у нас побитового сравнения не получится.",0.0702,0.0351
whisper-large-v3_beam5,test_00016.wav,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой.","то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой.",0.0577,0.0577
whisper-large-v3_beam5,test_00017.wav,и между ними может быть какое то количество дискретных столбиков где каждый столбик это своя частота это если совсем упрощать ну ты что то типа эквалайзера рассказал да да да по сути обычный эквалайзер,"И между ними может быть какое-то количество дискретных столбиков, где каждый столбик — это своя частота. Это если совсем упрощать. Ну, ты что-то типа эквалайзера рассказал? Да-да-да, по сути, обычный эквалайзер.","И между ними может быть какое-то количество дискретных столбиков, где каждый столбик — это своя частота. Это если совсем упрощать. Ну, ты что-то типа эквалайзера рассказал? Да-да-да, по сути, обычный эквалайзер.",0.0,0.0
whisper-large-v3_beam5,test_00018.wav,вот пришел запрос мы для него нашли пул кандидатов треков кандидатов и на самом деле из этого пула кандидатов правильный ответ если он даже есть там один или там несколько если там есть дубликаты этого трека в базе а все остальное это вообще говоря другие треки но мы можем посчитать какая похожесть,"Вот пришел запрос. Мы для него нашли пул кандидатов, треков кандидатов. И на самом деле из этого пула кандидатов правильный ответ, если он даже есть один или несколько, если там есть дубликаты этого трека в базе. А все остальное это вообще говорят другие треки. Но мы можем посчитать, какая похожесть...","Вот пришел запрос. Мы для него нашли пул кандидатов, треков кандидатов. И на самом деле из этого пула кандидатов правильный ответ, если он есть один или несколько, если там есть дубликаты этого трека в базе. А все остальное это вообще другие треки. Но мы можем посчитать, какая похожесть...",0.0577,0.0769
whisper-large-v3_beam5,test_00019.wav,выводы о том какой следующий шаг надо сделать alphazero как раз вот если говорить о stockfish движке это появилось года четыре пять лет назад и по моему там история такая что за сутки она обучилась через сутки смогла обыгрывать уже гроссмейстеров,"выводы о том, какой следующий шаг надо сделать. AlphaZero как раз, вот если говорить про стокфиш в движке, это появилось куда 4-5 лет назад. И, по-моему, там история такая, что за сутки она обучилась, через сутки смогла обыгрывать уже гроссмейстеров.","Выводы о том, какой следующий шаг надо сделать. AlphaZero как раз, вот если говорить про Stockfish в движке, это появилось куда 4-5 лет назад. И, по-моему, там история такая, что за сутки она обучилась, через сутки смогла обыгрывать уже гроссмейстеров.",0.1463,0.122
whisper-large-v3_beam5,test_00020.wav,то есть мы в каждый момент времени знаем про звук еще какое то такое распределение частот и связано это с тем что наше ухо на самом деле примерно так же и воспринимает звук то есть мы не просто амплитуду понимаем что вот где то там громче где то тише а наше ухо еще понимает что вот этот звук выше этот ниже этот голос более высокий этот голос низкий,"То есть мы в каждый момент времени знаем про звук еще и какое-то такое распределение частот. И связано это с тем, что наше ухо на самом деле примерно так же и воспринимает звук. То есть мы не просто амплитуду понимаем, что вот где-то там громче, где-то тише, а наше ухо еще понимает, что вот этот звук выше, этот ниже, этот голос более высокий, этот голос низкий.","То есть мы в каждый момент времени знаем про звук еще и какое-то такое распределение частот. И связано это с тем, что наше ухо на самом деле примерно так же и воспринимает звук. То есть мы не просто амплитуду понимаем, что вот где-то там громче, где-то тише, а наше ухо еще понимает, что вот этот звук выше, этот ниже, этот голос более высокий, этот голос низкий.",0.0147,0.0147
whisper-large-v3_beam5,test_00021.wav,я точно знаю у нас сейчас есть клиенты которые даже там на warning statement ы в наших логах реагируют такие о вы начали тут warning писать а у нас наши системы реагируют на то что warning и которые мы не знаем появляются в логах нам это мешает можете убрать,"Я точно знаю, у нас есть клиенты, которые даже на warning-стейтменты в наших логах реагируют такие, оу, вы начали этот warning писать, а у нас наша система реагирует на то, что warning, которые мы не знаем, появляются в логах. Нам это мешает, можете убрать.","Я точно знаю, у нас есть клиенты, которые даже на warning-statements в наших логах реагируют такие: оу, вы начали этот warning писать, а у нас наша система реагирует на то, что warning, которые мы не знаем, появляются в логах. Нам это мешает, можете убрать.",0.2041,0.2041
whisper-large-v3_beam5,test_00022.wav,когда у тебя система либо становится распределенной либо асинхронной внутри что по большому счету для целей нашего разговора практически одно и то же у тебя вот эта последовательность выполнения она теряется то есть грубо говоря тебе пришел какой то запрос ты можешь его положить в очередь для клиента и потом что то сделать,"Когда у тебя система либо становится распределенной, либо асинхронной внутри, что по большому счету для целей нашего разговора практически одно и то же, у тебя вот эта последовательность выполнения, она теряется. То есть, грубо говоря, тебе пришел какой-то запрос, ты можешь его положить в очередь для клиента и потом что-то сделать.","Когда у тебя система либо становится распределенной, либо асинхронной внутри, что по большому счету для целей нашего разговора практически одно и то же, у тебя вот эта последовательность выполнения она теряется. То есть, грубо говоря, тебе пришел какой-то запрос, ты можешь его положить в очередь для клиента и потом что-то сделать.",0.0,0.0
whisper-large-v3_beam5,test_00023.wav,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой.","то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой.",0.0577,0.0577
whisper-large-v3_beam5,test_00024.wav,то как бы но зачем здесь смотреть в логи прошлой версии системы там все равно же все не так работает это уже все старье надо новое смотреть вот я бы как раз тут не согласился мне скорее всего понадобятся логи предыдущего состояния системы если что то вдруг выкатили и оно стало работать не так как мы ожидали,"то зачем мне смотреть влоги прошлой версии системы? Там все равно уже все не так работает. Это уже все старье, надо новое смотреть. Вот я как раз тут не согласился. Мне скорее всего понадобятся влоги предыдущего состояния системы, если что-то вдруг выкатили, и оно стало работать не так, как мы ожидали.","то зачем мне смотреть влоги прошлой версии системы? Там все равно уже все не так работает. Это уже все старье, надо новое смотреть. Вот я как раз тут не согласился. Мне скорее всего понадобятся влоги предыдущего состояния системы, если что-то вдруг выкатили, и оно стало работать не так, как мы ожидали.",0.1579,0.1579
whisper-large-v3_beam5,test_00025.wav,и поэтому использовать их в повседневности не получается мы вынуждены поступать зачастую интуитивно,И поэтому использовать их в повседневности не получается. Мы вынуждены поступать зачастую интуитивно.,И поэтому использовать их в повседневности не получается. Мы вынуждены поступать зачастую интуитивно.,0.0,0.0
whisper-large-v3_beam5,test_00026.wav,что если зуб в результате развития кариеса разрушен до 40 то его возможно восстановить пломбой то есть композитным материалом реставрацией ну это пластмасса по существу,"что если зуб в результате развития кариеса разрушен до 40%, то его возможно восстановить пломбой, то есть композитным материалом реставрации. Это пластмасса по существу.","что если зуб в результате развития кариеса разрушен до 40%, то его возможно восстановить пломбой, то есть композитным материалом реставрации. Это пластмасса по существу.",0.08,0.08
whisper-large-v3_beam5,test_00027.wav,на примере может быть для тех кто ни разу с этим не сталкивался а я там не знаю как мобильный разработчик например последние сколько то лет сижу и думаю ну у меня логи там ну куда нибудь в centric могут отправиться обычно я вижу что у меня в какой нибудь google play прилетели краши и я просто по названию exception а захожу туда где мне нужно найти логи ctrl c ctrl v найти нахожу конкретные логи все типа конец больше мне делать ничего не нужно,"На примере, может быть, для тех, кто с этим ни разу не сталкивался, а я там, не знаю, как мобильный разработчик, например, последние сколько-то лет, сижу и думаю, ну, у меня логи там, ну, куда-нибудь в центре могут отправиться. Обычно я вижу, что мне в какой-нибудь Google Play прилетели кроши, я просто по названию эксепшена захожу туда, где мне нужно найти логи, Ctrl-C, Ctrl-V, найти, нахожу конкретные логи, все, типа, конец, больше мне делать ничего не нужно.","На примере, может быть, для тех, кто с этим ни разу не сталкивался, а я там, не знаю, как мобильный разработчик, например, последние сколько-то лет, сижу и думаю, ну, у меня логи там, ну, куда-нибудь в центр могут отправиться. Обычно я вижу, что мне в какой-нибудь Google Play прилетели краши, я просто по названию эксепшена захожу туда, где мне нужно найти логи, Ctrl+C, Ctrl+V, найти, нахожу конкретные логи, все, типа, конец, больше мне делать ничего не нужно.",0.1294,0.1176
whisper-large-v3_beam5,test_00028.wav,максимально ухудшить идеальную систему вводя туда какие то элементы или условия чтобы итоговая результат должен быть такой мы должны в 22 раза замедлить нашу разработку,"максимально ухудшить идеальную систему, вводя туда какие-то элементы или условия, чтобы итоговый результат должен быть такой. Мы должны в 22 раза замедлить нашу разработку.","Максимально ухудшить идеальную систему, вводя туда какие-то элементы или условия, чтобы итоговый результат должен быть такой. Мы должны в 22 раза замедлить нашу разработку.",0.04,0.04
whisper-large-v3_beam5,test_00029.wav,и вот такая архитектура долгое время доминировала ее пытались модифицировать в двухтысячных годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо сверточные нейронные сети,"И вот такая архитектура долгое время доминировала. Ее пытались модифицировать. В 2000-х годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки Джеффри Хинтона и его ученика Рустама Салахуддинова. И стали активно использовать вместо скрытых марковских моделей на акустико-фантастическом уровне многослойные нейронные сети, либо многослойные персептроны, либо сверточные нейронные сети.","И вот такая архитектура долгое время доминировала. Ее пытались модифицировать. В 2000-х годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки Джеффри Хинтона и его ученика Рустама Салахуддинова. И стали активно использовать вместо скрытых марковских моделей на акустическом уровне многослойные нейронные сети, либо многослойные персептроны, либо сверточные нейронные сети.",0.0741,0.0926
